video,candidate_id,source,candidate_start_sec,candidate_end_sec,label,window_count,max_probability
accident01.mp4,0,ANNOTATION,3.2,5.6,1,7,
accident01.mp4,1,ML_EVENT,0.0,11.5,1,20,0.712831823924745
accident02.mp4,2,ANNOTATION,5.0,8.0,1,9,
accident02.mp4,3,ML_EVENT,0.0,9.0,1,13,0.6570973930030246
accident03.mp4,4,ANNOTATION,7.0,12.0,1,13,
accident03.mp4,5,ML_EVENT,1.5,3.0,0,2,0.4203117882907189
accident04.mp4,6,ANNOTATION,2.0,6.0,1,11,
accident04.mp4,7,ML_EVENT,0.5,3.0,1,4,0.5250354108338656
accident05.mp4,8,ANNOTATION,6.0,8.0,1,6,
accident05.mp4,9,ML_EVENT,0.0,7.5,1,9,0.5864299059066744
normal01.mp4,10,ML_EVENT,1.001,4.505,0,6,0.5632088281518851
normal01.mp4,11,ML_EVENT,6.506,7.508,0,1,0.3135292076591552
normal01.mp4,12,ML_EVENT,9.009,10.01,0,1,0.389643452043828
normal01.mp4,13,ML_EVENT,12.012,13.013,0,1,0.3273786997308338
normal02.mp4,14,NORMAL_BACKGROUND,18.769,20.02,0,1,
normal03.mp4,15,NORMAL_BACKGROUND,26.276,27.527,0,1,
normal04.mp4,16,ML_EVENT,16.8,18.0,0,1,0.3015042362836187
normal05.mp4,17,ML_EVENT,17.518,18.518,0,1,0.3357399812565768
normal05.mp4,18,ML_EVENT,24.024,25.526,0,2,0.4492244510996496
normal05.mp4,19,ML_EVENT,32.032,33.033,0,1,0.3015276636789064
